person_party_id,start_dt,end_dt,next_start_dt,program_start_date,program_end_date,program_exit_code,cms_user_ext_id,final_term,credential,term_length,prior_cum_credits_not_completed,full_part_time,term_attempted_credits,on_campus,delta_unmet_need,unmet_need,prior_term_earned_credits,prior_total_credit_hours,high_school_gpa,term_start_month,prior_term_start_month,prior_full_part_time,primary_major,prior_term_fraction_completed_credits,transfer,prior_term_gpa,admitted_zip_code,prior_cumulative_gpa,time_at_institution,prediction,outcome
1062073,1/6/15,1/26/15,1/29/15,12/9/13,5/14/15,1,369920,FALSE,BS,20,3,Full-time,3,FALSE,,,12.25,112,3.188,Jan,Aug,Full-time,EDUST,1.02,FALSE,3.35,46996,2.75,3.35,0.998081873,1
1063333,8/26/15,12/11/15,1/4/16,3/24/15,,,394986,FALSE,BS,107,-0.25,Full-time,18,TRUE,,0,3,67.25,4.02,Aug,May,Part-time,MGMT,1,FALSE,3.7,46582,3.118,0.99,0.992606565,1
1062639,1/29/15,5/14/15,8/26/15,1/29/14,4/8/15,2,380763,FALSE,BS,105,0,Full-time,16,TRUE,,2000,3,52.5,2.878,Jan,Jan,Full-time,EXFT,1,TRUE,3,46227,2.606,1,0.923272529,1
1063898,8/26/15,12/11/15,1/4/16,8/26/15,5/26/16,4,405914,FALSE,BS,107,,Full-time,12,FALSE,,0,,,3.8,Aug,Unknown,Unknown,EDELM,,FALSE,,46580,,0,0.982299779,1
1063622,1/6/15,1/26/15,1/29/15,8/27/14,5/14/15,4,399579,FALSE,BS,20,3,Full-time,3,FALSE,,,10,10,3.347,Jan,Aug,Full-time,EDELM,0.76,FALSE,2.385,46517,2.385,0.36,0.928353004,1
1063061,1/29/14,5/15/14,8/27/14,8/28/13,1/28/15,4,388951,FALSE,BS,106,0,Full-time,15,TRUE,,3619,3,18,3.624,Jan,Jan,Full-time,ACCT,1,FALSE,3,47030,3.2,0.42,0.912951608,1
1063648,1/29/15,5/14/15,8/26/15,8/27/14,,,399899,FALSE,BS,105,0,Full-time,12,TRUE,,0,3,23.5,3.202,Jan,Jan,Full-time,COMM,1,FALSE,3,46750,3.36,0.42,0.862137124,1
1062184,5/20/14,7/1/14,8/27/14,5/18/12,5/14/15,1,373014,FALSE,BS,42,-0.75,Part-time,3,FALSE,,,15.75,99.75,3.354,May,Jan,Full-time,SOC,1.01,FALSE,3.69,46350,3.207,2.72,0.983748174,1
1062312,1/3/14,1/23/14,1/29/14,3/26/13,5/14/15,1,374900,FALSE,BS,20,-0.5,Full-time,3,FALSE,,,16.25,80.5,3.985,Jan,Aug,Full-time,SPMT,1.01,FALSE,3.419,47978,3.34,2.34,0.998081845,1
1063382,1/29/15,5/14/15,8/26/15,8/27/14,,,396607,FALSE,BS,105,0,Full-time,14,TRUE,,0,3,34,3.18,Jan,Jan,Full-time,HIST,1,TRUE,2.7,47274,3.121,0.42,0.920186832,1
1061716,1/29/14,5/15/14,,4/13/12,5/15/14,1,316055,TRUE,BS,106,-1,Full-time,12,TRUE,,2265,3,123,3.654,Jan,Jan,Full-time,CHEM,1,FALSE,4,47906,3.142,3.41,0.923272545,1
1063012,1/3/14,1/23/14,1/29/14,8/28/13,3/28/14,2,388418,FALSE,BS,20,-0.25,Full-time,3,FALSE,,,15.25,18.25,3.46,Jan,Aug,Full-time,BIOCH,1.01,FALSE,2.347,47302,2.347,0.35,0.985519019,1
1063280,1/3/14,1/23/14,1/29/14,8/28/13,5/14/15,1,392938,FALSE,BA,20,0,Full-time,3,FALSE,,,13.5,79.5,,Jan,Aug,Full-time,CRJST,1,TRUE,4,49091,4,0.35,0.985519038,1
1062021,8/28/13,12/13/13,1/3/14,3/28/13,,,368760,FALSE,BS,107,-0.5,Full-time,16.5,TRUE,,7136,3,69.5,3.608,Aug,Jul,Full-time,ENVSC,1,FALSE,4,46903,3.833,1.99,0.970601124,1
1061406,1/6/15,1/26/15,1/29/15,4/2/14,7/18/16,1,176648,FALSE,BS,20,-0.25,Full-time,3,FALSE,,,15.75,90.25,3.738,Jan,Aug,Full-time,ECON,1.01,TRUE,3.942,46962,3.812,2,0.995393624,1
1062360,1/6/15,1/26/15,1/29/15,5/14/14,5/14/15,1,375751,FALSE,BA,20,-0.75,Full-time,3,FALSE,,,17.25,114.25,3.264,Jan,Aug,Full-time,MGMT,1.01,FALSE,3.094,46816,3.115,3.35,0.994875464,1
1063270,8/26/15,12/11/15,1/4/16,8/27/15,,,392586,FALSE,BS,107,-0.25,Full-time,15,TRUE,0,0,15.25,33.25,3.222,Aug,Jan,Full-time,ACCT,1.01,FALSE,3.18,46032,3.382,0.99,0.99487547,1
1062466,8/27/14,12/12/14,1/6/15,8/27/14,1/12/15,2,377448,FALSE,BS,107,,Full-time,13,TRUE,,0,,,2.63,Aug,Unknown,Unknown,UND,,FALSE,,46804,,0,0.985519014,1
1061706,1/29/14,5/15/14,5/20/14,8/29/12,5/12/16,1,315718,FALSE,BS,106,-0.25,Full-time,15,FALSE,,0,3,68.25,3.824,Jan,Jan,Full-time,BIOCH,1,FALSE,4,46962,3.171,1.41,0.95431821,1
